,Zone,Shipping Class,,,˷,Currency,
Kenya,Zone C,small-light,,<20,1.47 ,USD,
Iraq,Zone C,small-light,,<20,1.47 ,USD,
Iran,Zone C,small-light,,<20,1.47 ,USD,
Ghana,Zone C,small-light,,<20,1.59 ,USD,
Ethiopia,Zone C,small-light,,<20,1.47 ,USD,
Cuba,Zone C,small-light,,<20,1.59 ,USD,
Congo (REP. OF),Zone C,small-light,,<20,1.53 ,USD,
Congo (DEM. REP. OF),Zone C,small-light,,<20,1.82 ,USD,
Chile,Zone C,small-light,,<20,2.00 ,USD,
Cameroon,Zone C,small-light,,<20,2.53 ,USD,
Brazil,Zone C,small-light,,<20,4.94 ,USD,
Belarus,Zone C,small-light,,<20,2.50 ,USD,
Argentina,Zone C,small-light,,<20,1.68 ,USD,
Angola,Zone C,small-light,,<20,1.56 ,USD,
Afghanistan,Zone C,small-light,,<20,1.71 ,USD,
Zimbabwe,Zone C,small-light,,<50,2.35 ,USD,
Venezuela,Zone C,small-light,,<50,2.43 ,USD,
Ukraine,Zone C,small-light,,<50,1.76 ,USD,
Uganda,Zone C,small-light,,<50,2.13 ,USD,
Tanzania,Zone C,small-light,,<50,2.21 ,USD,
Sudan,Zone C,small-light,,<50,3.01 ,USD,
South Africa,Zone C,small-light,,<50,4.34 ,USD,
Somalia,Zone C,small-light,,<50,2.79 ,USD,
Russia,Zone C,small-light,,<50,2.35 ,USD,
Peru,Zone C,small-light,,<50,2.65 ,USD,
Pakistan,Zone C,small-light,,<50,1.32 ,USD,
Nigeria,Zone C,small-light,,<50,2.28 ,USD,
Mozambique,Zone C,small-light,,<50,2.35 ,USD,
Madagascar,Zone C,small-light,,<50,2.50 ,USD,
Libya,Zone C,small-light,,<50,3.31 ,USD,
Kenya,Zone C,small-light,,<50,2.13 ,USD,
Iraq,Zone C,small-light,,<50,2.13 ,USD,
Iran,Zone C,small-light,,<50,2.13 ,USD,
Ghana,Zone C,small-light,,<50,2.43 ,USD,
Ethiopia,Zone C,small-light,,<50,2.13 ,USD,
Cuba,Zone C,small-light,,<50,2.43 ,USD,
Congo (REP. OF),Zone C,small-light,,<50,2.28 ,USD,
Congo (DEM. REP. OF),Zone C,small-light,,<50,2.79 ,USD,
Chile,Zone C,small-light,,<50,2.35 ,USD,
Cameroon,Zone C,small-light,,<50,3.24 ,USD,
Brazil,Zone C,small-light,,<50,5.29 ,USD,
Belarus,Zone C,small-light,,<50,3.38 ,USD,
Argentina,Zone C,small-light,,<50,2.65 ,USD,
Angola,Zone C,small-light,,<50,2.35 ,USD,
Afghanistan,Zone C,small-light,,<50,2.50 ,USD,
Zimbabwe,Zone C,small-light,,<300,6.03 ,USD,
Venezuela,Zone C,small-light,,<300,9.41 ,USD,
Ukraine,Zone C,small-light,,<300,5.44 ,USD,
Uganda,Zone C,small-light,,<300,7.65 ,USD,
Tanzania,Zone C,small-light,,<300,8.09 ,USD,
Sudan,Zone C,small-light,,<300,9.26 ,USD,
South Africa,Zone C,small-light,,<300,9.12 ,USD,
Somalia,Zone C,small-light,,<300,10.88 ,USD,
Russia,Zone C,small-light,,<300,3.82 ,USD,
Peru,Zone C,small-light,,<300,10.74 ,USD,
Pakistan,Zone C,small-light,,<300,2.79 ,USD,
Nigeria,Zone C,small-light,,<300,8.53 ,USD,
Mozambique,Zone C,small-light,,<300,8.97 ,USD,
Madagascar,Zone C,small-light,,<300,9.85 ,USD,
Libya,Zone C,small-light,,<300,9.56 ,USD,
Kenya,Zone C,small-light,,<300,7.65 ,USD,
Iraq,Zone C,small-light,,<300,7.65 ,USD,
Iran,Zone C,small-light,,<300,7.65 ,USD,
Ghana,Zone C,small-light,,<300,9.41 ,USD,
Ethiopia,Zone C,small-light,,<300,7.65 ,USD,
Cuba,Zone C,small-light,,<300,9.41 ,USD,
Congo (REP. OF),Zone C,small-light,,<300,8.53 ,USD,
Congo (DEM. REP. OF),Zone C,small-light,,<300,10.88 ,USD,
Chile,Zone C,small-light,,<300,5.29 ,USD,
Cameroon,Zone C,small-light,,<300,9.12 ,USD,
Brazil,Zone C,small-light,,<300,8.24 ,USD,
Belarus,Zone C,small-light,,<300,10.74 ,USD,
Argentina,Zone C,small-light,,<300,10.74 ,USD,
Angola,Zone C,small-light,,<300,8.97 ,USD,
Afghanistan,Zone C,small-light,,<300,9.12 ,USD,
Zimbabwe,Zone C,small-light,,<100,3.09 ,USD,
Venezuela,Zone C,small-light,,<100,3.82 ,USD,
Ukraine,Zone C,small-light,,<100,2.50 ,USD,
Uganda,Zone C,small-light,,<100,3.24 ,USD,
Tanzania,Zone C,small-light,,<100,3.38 ,USD,
Sudan,Zone C,small-light,,<100,4.26 ,USD,
South Africa,Zone C,small-light,,<100,5.29 ,USD,
Somalia,Zone C,small-light,,<100,4.41 ,USD,
Russia,Zone C,small-light,,<100,2.65 ,USD,
Peru,Zone C,small-light,,<100,4.26 ,USD,
Pakistan,Zone C,small-light,,<100,1.62 ,USD,
Nigeria,Zone C,small-light,,<100,3.53 ,USD,
Mozambique,Zone C,small-light,,<100,3.68 ,USD,
Madagascar,Zone C,small-light,,<100,3.97 ,USD,
Libya,Zone C,small-light,,<100,4.56 ,USD,
Kenya,Zone C,small-light,,<100,3.24 ,USD,
Iraq,Zone C,small-light,,<100,3.24 ,USD,
Iran,Zone C,small-light,,<100,3.24 ,USD,
Ghana,Zone C,small-light,,<100,3.82 ,USD,
Ethiopia,Zone C,small-light,,<100,3.24 ,USD,
Cuba,Zone C,small-light,,<100,3.82 ,USD,
Congo (REP. OF),Zone C,small-light,,<100,3.53 ,USD,
Congo (DEM. REP. OF),Zone C,small-light,,<100,4.41 ,USD,
Chile,Zone C,small-light,,<100,2.94 ,USD,
Cameroon,Zone C,small-light,,<100,4.41 ,USD,
Brazil,Zone C,small-light,,<100,5.88 ,USD,
Belarus,Zone C,small-light,,<100,4.85 ,USD,
Argentina,Zone C,small-light,,<100,4.26 ,USD,
Angola,Zone C,small-light,,<100,3.68 ,USD,
Afghanistan,Zone C,small-light,,<100,3.82 ,USD,
Zambia,Rest of World,small-light,,<200,5.74 ,USD,
Wallis And Futuna Islands,Rest of World,small-light,,<200,10.88 ,USD,
Vanuatu,Rest of World,small-light,,<200,8.68 ,USD,
United States Virgin Islands,Rest of World,small-light,,<200,9.71 ,USD,
Tuvalu,Rest of World,small-light,,<200,9.41 ,USD,
Turks And Caicos Islands,Rest of World,small-light,,<200,7.65 ,USD,
Tristan Da Cunha,Rest of World,small-light,,<200,15.59 ,USD,
Trinidad and Tobago,Rest of World,small-light,,<200,7.65 ,USD,
Tortola (British Virgin Islands),Rest of World,small-light,,<200,6.32 ,USD,
Tonga,Rest of World,small-light,,<200,8.38 ,USD,
Tokelau,Rest of World,small-light,,<200,13.97 ,USD,
Togo,Rest of World,small-light,,<200,7.06 ,USD,
Timor-leste,Rest of World,small-light,,<200,15.59 ,USD,
Swaziland,Rest of World,small-light,,<200,6.32 ,USD,
Solomon Islands,Rest of World,small-light,,<200,6.18 ,USD,
Sint Maarteen,Rest of World,small-light,,<200,7.65 ,USD,
Sierra Leone,Rest of World,small-light,,<200,7.65 ,USD,
Seychelles,Rest of World,small-light,,<200,5.00 ,USD,
Senegal,Rest of World,small-light,,<200,5.74 ,USD,
Sao Tome and Principe,Rest of World,small-light,,<200,7.65 ,USD,
San Marino,Rest of World,small-light,,<200,8.24 ,USD,
"Samoa, Western",Rest of World,small-light,,<200,10.74 ,USD,
Saint Vincent and The Grenadies,Rest of World,small-light,,<200,7.35 ,USD,
Saint Pierre And Miquelon,Rest of World,small-light,,<200,8.09 ,USD,
Saint Lucia,Rest of World,small-light,,<200,6.32 ,USD,
Saint Kitts And Nevis,Rest of World,small-light,,<200,7.35 ,USD,
Saint Helena,Rest of World,small-light,,<200,8.24 ,USD,
Rwanda,Rest of World,small-light,,<200,6.03 ,USD,
Reunion,Rest of World,small-light,,<200,9.71 ,USD,
Pitcairn,Rest of World,small-light,,<200,11.62 ,USD,
Papua New Guinea,Rest of World,small-light,,<200,8.82 ,USD,
Palestine,Rest of World,small-light,,<200,15.59 ,USD,
Northern Mariana Islands,Rest of World,small-light,,<200,9.71 ,USD,
Norfolk Island,Rest of World,small-light,,<200,8.68 ,USD,
Niue,Rest of World,small-light,,<200,11.62 ,USD,
Niger,Rest of World,small-light,,<200,6.76 ,USD,
New Caledonia,Rest of World,small-light,,<200,8.82 ,USD,
Nauru,Rest of World,small-light,,<200,11.47 ,USD,
Namibia,Rest of World,small-light,,<200,7.35 ,USD,
Montserrat,Rest of World,small-light,,<200,7.35 ,USD,
Martinique,Rest of World,small-light,,<200,9.41 ,USD,
Marshall Islands,Rest of World,small-light,,<200,9.26 ,USD,
Mali,Rest of World,small-light,,<200,7.06 ,USD,
Malawi,Rest of World,small-light,,<200,6.03 ,USD,
Liechtenstein,Rest of World,small-light,,<200,8.53 ,USD,
Liberia,Rest of World,small-light,,<200,7.21 ,USD,
Lesotho,Rest of World,small-light,,<200,7.65 ,USD,
Kosovo,Rest of World,small-light,,<200,6.62 ,USD,
Kiribati,Rest of World,small-light,,<200,9.41 ,USD,
Jersey,Rest of World,small-light,,<200,6.62 ,USD,
Jamaica,Rest of World,small-light,,<200,6.32 ,USD,
Isle of Man,Rest of World,small-light,,<200,6.62 ,USD,
Iceland,Rest of World,small-light,,<200,6.76 ,USD,
Haiti,Rest of World,small-light,,<200,7.35 ,USD,
Guinea,Rest of World,small-light,,<200,6.76 ,USD,
Guernsey,Rest of World,small-light,,<200,6.62 ,USD,
Guam,Rest of World,small-light,,<200,10.00 ,USD,
Guadeloupe,Rest of World,small-light,,<200,9.26 ,USD,
Grenada,Rest of World,small-light,,<200,6.91 ,USD,
Greenland,Rest of World,small-light,,<200,13.24 ,USD,
Gibraltar,Rest of World,small-light,,<200,8.38 ,USD,
Gambia,Rest of World,small-light,,<200,6.91 ,USD,
Gabon,Rest of World,small-light,,<200,6.76 ,USD,
French Polynesia,Rest of World,small-light,,<200,8.82 ,USD,
Fiji,Rest of World,small-light,,<200,8.82 ,USD,
Faroe Islands,Rest of World,small-light,,<200,11.76 ,USD,
Falkland Islands,Rest of World,small-light,,<200,11.47 ,USD,
Eritrea,Rest of World,small-light,,<200,6.91 ,USD,
Equatorial Guinea,Rest of World,small-light,,<200,6.91 ,USD,
Dominica,Rest of World,small-light,,<200,7.35 ,USD,
Djibouti,Rest of World,small-light,,<200,7.65 ,USD,
Curacao,Rest of World,small-light,,<200,6.91 ,USD,
Cote D'Ivoire,Rest of World,small-light,,<200,6.03 ,USD,
Cook Islands,Rest of World,small-light,,<200,15.59 ,USD,
Comoros,Rest of World,small-light,,<200,6.76 ,USD,
Chad,Rest of World,small-light,,<200,7.21 ,USD,
Central African Republic,Rest of World,small-light,,<200,7.65 ,USD,
Cayman Islands,Rest of World,small-light,,<200,6.91 ,USD,
Cape Verde,Rest of World,small-light,,<200,7.65 ,USD,
Burundi,Rest of World,small-light,,<200,6.91 ,USD,
Burkina Faso,Rest of World,small-light,,<200,7.06 ,USD,
Botswana,Rest of World,small-light,,<200,6.32 ,USD,
Bonaire,Rest of World,small-light,,<200,7.65 ,USD,
Bhutan,Rest of World,small-light,,<200,5.88 ,USD,
Bermuda,Rest of World,small-light,,<200,6.32 ,USD,
Benin,Rest of World,small-light,,<200,6.91 ,USD,
Barbados,Rest of World,small-light,,<200,6.32 ,USD,
Bahamas,Rest of World,small-light,,<200,6.62 ,USD,
Ascension Island,Rest of World,small-light,,<200,8.82 ,USD,
Aruba,Rest of World,small-light,,<200,7.79 ,USD,
Antigua and Barbuda,Rest of World,small-light,,<200,6.03 ,USD,
Anguilla,Rest of World,small-light,,<200,7.35 ,USD,
Andorra,Rest of World,small-light,,<200,6.62 ,USD,
American Samoa,Rest of World,small-light,,<200,9.41 ,USD,
Algeria,Rest of World,small-light,,<200,6.18 ,USD,
Zambia,Rest of World,small-light,,<20,1.50 ,USD,
Wallis And Futuna Islands,Rest of World,small-light,,<20,2.94 ,USD,
Vanuatu,Rest of World,small-light,,<20,2.59 ,USD,
United States Virgin Islands,Rest of World,small-light,,<20,6.00 ,USD,
Tuvalu,Rest of World,small-light,,<20,2.26 ,USD,
Turks And Caicos Islands,Rest of World,small-light,,<20,1.82 ,USD,
Tristan Da Cunha,Rest of World,small-light,,<20,3.41 ,USD,
Trinidad and Tobago,Rest of World,small-light,,<20,1.82 ,USD,
Tortola (British Virgin Islands),Rest of World,small-light,,<20,1.56 ,USD,
Tonga,Rest of World,small-light,,<20,2.56 ,USD,
Tokelau,Rest of World,small-light,,<20,2.32 ,USD,
Togo,Rest of World,small-light,,<20,2.56 ,USD,
Timor-leste,Rest of World,small-light,,<20,3.41 ,USD,
Swaziland,Rest of World,small-light,,<20,1.82 ,USD,
Solomon Islands,Rest of World,small-light,,<20,1.94 ,USD,
Sint Maarteen,Rest of World,small-light,,<20,1.82 ,USD,
Sierra Leone,Rest of World,small-light,,<20,1.82 ,USD,
Seychelles,Rest of World,small-light,,<20,1.29 ,USD,
Senegal,Rest of World,small-light,,<20,1.50 ,USD,
Sao Tome and Principe,Rest of World,small-light,,<20,1.82 ,USD,
San Marino,Rest of World,small-light,,<20,2.68 ,USD,
"Samoa, Western",Rest of World,small-light,,<20,2.00 ,USD,
Saint Vincent and The Grenadies,Rest of World,small-light,,<20,1.79 ,USD,
Saint Pierre And Miquelon,Rest of World,small-light,,<20,3.59 ,USD,
Saint Lucia,Rest of World,small-light,,<20,1.56 ,USD,
Saint Kitts And Nevis,Rest of World,small-light,,<20,1.79 ,USD,
Saint Helena,Rest of World,small-light,,<20,3.47 ,USD,
Rwanda,Rest of World,small-light,,<20,1.53 ,USD,
Reunion,Rest of World,small-light,,<20,5.74 ,USD,
Pitcairn,Rest of World,small-light,,<20,2.88 ,USD,
Papua New Guinea,Rest of World,small-light,,<20,1.94 ,USD,
Palestine,Rest of World,small-light,,<20,3.41 ,USD,
Northern Mariana Islands,Rest of World,small-light,,<20,6.00 ,USD,
Norfolk Island,Rest of World,small-light,,<20,1.79 ,USD,
Niue,Rest of World,small-light,,<20,2.35 ,USD,
Niger,Rest of World,small-light,,<20,2.53 ,USD,
New Caledonia,Rest of World,small-light,,<20,1.94 ,USD,
Nauru,Rest of World,small-light,,<20,3.00 ,USD,
Namibia,Rest of World,small-light,,<20,2.59 ,USD,
Montserrat,Rest of World,small-light,,<20,1.79 ,USD,
Martinique,Rest of World,small-light,,<20,5.18 ,USD,
Marshall Islands,Rest of World,small-light,,<20,5.82 ,USD,
Mali,Rest of World,small-light,,<20,2.56 ,USD,
Malawi,Rest of World,small-light,,<20,1.53 ,USD,
Liechtenstein,Rest of World,small-light,,<20,4.56 ,USD,
Liberia,Rest of World,small-light,,<20,1.65 ,USD,
Lesotho,Rest of World,small-light,,<20,1.82 ,USD,
Kosovo,Rest of World,small-light,,<20,2.12 ,USD,
Kiribati,Rest of World,small-light,,<20,2.26 ,USD,
Jersey,Rest of World,small-light,,<20,5.03 ,USD,
Jamaica,Rest of World,small-light,,<20,1.56 ,USD,
Isle of Man,Rest of World,small-light,,<20,5.03 ,USD,
Iceland,Rest of World,small-light,,<20,4.38 ,USD,
Haiti,Rest of World,small-light,,<20,1.79 ,USD,
Guinea,Rest of World,small-light,,<20,2.26 ,USD,
Guernsey,Rest of World,small-light,,<20,5.03 ,USD,
Guam,Rest of World,small-light,,<20,6.29 ,USD,
Guadeloupe,Rest of World,small-light,,<20,5.56 ,USD,
Grenada,Rest of World,small-light,,<20,1.62 ,USD,
Greenland,Rest of World,small-light,,<20,5.56 ,USD,
Gibraltar,Rest of World,small-light,,<20,2.03 ,USD,
Gambia,Rest of World,small-light,,<20,1.62 ,USD,
Gabon,Rest of World,small-light,,<20,2.53 ,USD,
French Polynesia,Rest of World,small-light,,<20,1.94 ,USD,
Fiji,Rest of World,small-light,,<20,1.94 ,USD,
Faroe Islands,Rest of World,small-light,,<20,5.41 ,USD,
Falkland Islands,Rest of World,small-light,,<20,3.00 ,USD,
Eritrea,Rest of World,small-light,,<20,1.62 ,USD,
Equatorial Guinea,Rest of World,small-light,,<20,2.15 ,USD,
Dominica,Rest of World,small-light,,<20,1.79 ,USD,
Djibouti,Rest of World,small-light,,<20,1.82 ,USD,
Curacao,Rest of World,small-light,,<20,1.62 ,USD,
Cote D'Ivoire,Rest of World,small-light,,<20,1.53 ,USD,
Cook Islands,Rest of World,small-light,,<20,3.41 ,USD,
Comoros,Rest of World,small-light,,<20,2.53 ,USD,
Chad,Rest of World,small-light,,<20,1.65 ,USD,
Central African Republic,Rest of World,small-light,,<20,1.82 ,USD,
Cayman Islands,Rest of World,small-light,,<20,1.62 ,USD,
Cape Verde,Rest of World,small-light,,<20,1.82 ,USD,
Burundi,Rest of World,small-light,,<20,1.62 ,USD,
Burkina Faso,Rest of World,small-light,,<20,2.56 ,USD,
Botswana,Rest of World,small-light,,<20,1.56 ,USD,
Bonaire,Rest of World,small-light,,<20,1.82 ,USD,
Bhutan,Rest of World,small-light,,<20,3.24 ,USD,
Bermuda,Rest of World,small-light,,<20,1.56 ,USD,
Benin,Rest of World,small-light,,<20,2.41 ,USD,
Barbados,Rest of World,small-light,,<20,1.56 ,USD,
Bahamas,Rest of World,small-light,,<20,1.59 ,USD,
Ascension Island,Rest of World,small-light,,<20,3.53 ,USD,
Aruba,Rest of World,small-light,,<20,1.97 ,USD,
Antigua and Barbuda,Rest of World,small-light,,<20,1.53 ,USD,
Anguilla,Rest of World,small-light,,<20,1.79 ,USD,
Andorra,Rest of World,small-light,,<20,3.97 ,USD,
American Samoa,Rest of World,small-light,,<20,5.97 ,USD,
Algeria,Rest of World,small-light,,<20,1.41 ,USD,
Zambia,Rest of World,small-light,,<100,3.38 ,USD,
Wallis And Futuna Islands,Rest of World,small-light,,<100,6.47 ,USD,
Vanuatu,Rest of World,small-light,,<100,5.29 ,USD,
United States Virgin Islands,Rest of World,small-light,,<100,7.65 ,USD,
Tuvalu,Rest of World,small-light,,<100,5.44 ,USD,
Turks And Caicos Islands,Rest of World,small-light,,<100,4.41 ,USD,
Tristan Da Cunha,Rest of World,small-light,,<100,8.82 ,USD,
Trinidad and Tobago,Rest of World,small-light,,<100,4.41 ,USD,
Tortola (British Virgin Islands),Rest of World,small-light,,<100,3.68 ,USD,
Tonga,Rest of World,small-light,,<100,5.15 ,USD,
Tokelau,Rest of World,small-light,,<100,7.50 ,USD,
Togo,Rest of World,small-light,,<100,4.56 ,USD,
Timor-leste,Rest of World,small-light,,<100,8.82 ,USD,
Swaziland,Rest of World,small-light,,<100,3.82 ,USD,
Solomon Islands,Rest of World,small-light,,<100,3.82 ,USD,
Sint Maarteen,Rest of World,small-light,,<100,4.41 ,USD,
Sierra Leone,Rest of World,small-light,,<100,4.41 ,USD,
Seychelles,Rest of World,small-light,,<100,2.94 ,USD,
Senegal,Rest of World,small-light,,<100,3.38 ,USD,
Sao Tome and Principe,Rest of World,small-light,,<100,4.41 ,USD,
San Marino,Rest of World,small-light,,<100,5.15 ,USD,
"Samoa, Western",Rest of World,small-light,,<100,5.88 ,USD,
Saint Vincent and The Grenadies,Rest of World,small-light,,<100,4.26 ,USD,
Saint Pierre And Miquelon,Rest of World,small-light,,<100,5.59 ,USD,
Saint Lucia,Rest of World,small-light,,<100,3.68 ,USD,
Saint Kitts And Nevis,Rest of World,small-light,,<100,4.26 ,USD,
Saint Helena,Rest of World,small-light,,<100,5.59 ,USD,
Rwanda,Rest of World,small-light,,<100,3.53 ,USD,
Reunion,Rest of World,small-light,,<100,7.50 ,USD,
Pitcairn,Rest of World,small-light,,<100,6.76 ,USD,
Papua New Guinea,Rest of World,small-light,,<100,5.00 ,USD,
Palestine,Rest of World,small-light,,<100,8.82 ,USD,
Northern Mariana Islands,Rest of World,small-light,,<100,7.65 ,USD,
Norfolk Island,Rest of World,small-light,,<100,4.85 ,USD,
Niue,Rest of World,small-light,,<100,6.47 ,USD,
Niger,Rest of World,small-light,,<100,4.41 ,USD,
New Caledonia,Rest of World,small-light,,<100,5.00 ,USD,
Nauru,Rest of World,small-light,,<100,6.76 ,USD,
Namibia,Rest of World,small-light,,<100,4.71 ,USD,
Montserrat,Rest of World,small-light,,<100,4.26 ,USD,
Martinique,Rest of World,small-light,,<100,7.06 ,USD,
Marshall Islands,Rest of World,small-light,,<100,7.35 ,USD,
Mali,Rest of World,small-light,,<100,4.56 ,USD,
Malawi,Rest of World,small-light,,<100,3.53 ,USD,
Liechtenstein,Rest of World,small-light,,<100,6.32 ,USD,
Liberia,Rest of World,small-light,,<100,4.12 ,USD,
Lesotho,Rest of World,small-light,,<100,4.41 ,USD,
Kosovo,Rest of World,small-light,,<100,4.12 ,USD,
Kiribati,Rest of World,small-light,,<100,5.44 ,USD,
Jersey,Rest of World,small-light,,<100,5.74 ,USD,
Jamaica,Rest of World,small-light,,<100,3.68 ,USD,
Isle of Man,Rest of World,small-light,,<100,5.74 ,USD,
Iceland,Rest of World,small-light,,<100,5.44 ,USD,
Haiti,Rest of World,small-light,,<100,4.26 ,USD,
Guinea,Rest of World,small-light,,<100,4.26 ,USD,
Guernsey,Rest of World,small-light,,<100,5.74 ,USD,
Guam,Rest of World,small-light,,<100,7.94 ,USD,
Guadeloupe,Rest of World,small-light,,<100,7.21 ,USD,
Grenada,Rest of World,small-light,,<100,3.97 ,USD,
Greenland,Rest of World,small-light,,<100,8.97 ,USD,
Gibraltar,Rest of World,small-light,,<100,4.85 ,USD,
Gambia,Rest of World,small-light,,<100,3.97 ,USD,
Gabon,Rest of World,small-light,,<100,4.41 ,USD,
French Polynesia,Rest of World,small-light,,<100,5.00 ,USD,
Fiji,Rest of World,small-light,,<100,5.00 ,USD,
Faroe Islands,Rest of World,small-light,,<100,8.24 ,USD,
Falkland Islands,Rest of World,small-light,,<100,6.76 ,USD,
Eritrea,Rest of World,small-light,,<100,3.97 ,USD,
Equatorial Guinea,Rest of World,small-light,,<100,4.26 ,USD,
Dominica,Rest of World,small-light,,<100,4.26 ,USD,
Djibouti,Rest of World,small-light,,<100,4.41 ,USD,
Curacao,Rest of World,small-light,,<100,3.97 ,USD,
Cote D'Ivoire,Rest of World,small-light,,<100,3.53 ,USD,
Cook Islands,Rest of World,small-light,,<100,8.82 ,USD,
Comoros,Rest of World,small-light,,<100,4.41 ,USD,
Chad,Rest of World,small-light,,<100,4.12 ,USD,
Central African Republic,Rest of World,small-light,,<100,4.41 ,USD,
Cayman Islands,Rest of World,small-light,,<100,3.97 ,USD,
Cape Verde,Rest of World,small-light,,<100,4.41 ,USD,
Burundi,Rest of World,small-light,,<100,3.97 ,USD,
Burkina Faso,Rest of World,small-light,,<100,4.56 ,USD,
Botswana,Rest of World,small-light,,<100,3.68 ,USD,
Bonaire,Rest of World,small-light,,<100,4.41 ,USD,
Bhutan,Rest of World,small-light,,<100,4.41 ,USD,
Bermuda,Rest of World,small-light,,<100,3.68 ,USD,
Benin,Rest of World,small-light,,<100,4.41 ,USD,
Barbados,Rest of World,small-light,,<100,3.68 ,USD,
Bahamas,Rest of World,small-light,,<100,3.82 ,USD,
Ascension Island,Rest of World,small-light,,<100,5.88 ,USD,
Aruba,Rest of World,small-light,,<100,4.56 ,USD,
Antigua and Barbuda,Rest of World,small-light,,<100,3.53 ,USD,
Anguilla,Rest of World,small-light,,<100,4.26 ,USD,
Andorra,Rest of World,small-light,,<100,5.15 ,USD,
American Samoa,Rest of World,small-light,,<100,7.50 ,USD,
Algeria,Rest of World,small-light,,<100,3.53 ,USD,
Zambia,Rest of World,small-light,,<300,8.09 ,USD,
Wallis And Futuna Islands,Rest of World,small-light,,<300,15.29 ,USD,
Vanuatu,Rest of World,small-light,,<300,12.06 ,USD,
United States Virgin Islands,Rest of World,small-light,,<300,11.76 ,USD,
Tuvalu,Rest of World,small-light,,<300,13.38 ,USD,
Turks And Caicos Islands,Rest of World,small-light,,<300,10.88 ,USD,
Tristan Da Cunha,Rest of World,small-light,,<300,22.35 ,USD,
Trinidad and Tobago,Rest of World,small-light,,<300,10.88 ,USD,
Tortola (British Virgin Islands),Rest of World,small-light,,<300,8.97 ,USD,
Tonga,Rest of World,small-light,,<300,11.62 ,USD,
Tokelau,Rest of World,small-light,,<300,20.44 ,USD,
Togo,Rest of World,small-light,,<300,9.56 ,USD,
Timor-leste,Rest of World,small-light,,<300,22.35 ,USD,
Swaziland,Rest of World,small-light,,<300,8.82 ,USD,
Solomon Islands,Rest of World,small-light,,<300,8.53 ,USD,
Sint Maarteen,Rest of World,small-light,,<300,10.88 ,USD,
Sierra Leone,Rest of World,small-light,,<300,10.88 ,USD,
Seychelles,Rest of World,small-light,,<300,7.06 ,USD,
Senegal,Rest of World,small-light,,<300,8.09 ,USD,
Sao Tome and Principe,Rest of World,small-light,,<300,10.88 ,USD,
San Marino,Rest of World,small-light,,<300,11.32 ,USD,
"Samoa, Western",Rest of World,small-light,,<300,15.59 ,USD,
Saint Vincent and The Grenadies,Rest of World,small-light,,<300,10.44 ,USD,
Saint Pierre And Miquelon,Rest of World,small-light,,<300,10.59 ,USD,
Saint Lucia,Rest of World,small-light,,<300,8.97 ,USD,
Saint Kitts And Nevis,Rest of World,small-light,,<300,10.44 ,USD,
Saint Helena,Rest of World,small-light,,<300,10.88 ,USD,
Rwanda,Rest of World,small-light,,<300,8.53 ,USD,
Reunion,Rest of World,small-light,,<300,11.91 ,USD,
Pitcairn,Rest of World,small-light,,<300,16.47 ,USD,
Papua New Guinea,Rest of World,small-light,,<300,12.65 ,USD,
Palestine,Rest of World,small-light,,<300,22.35 ,USD,
Northern Mariana Islands,Rest of World,small-light,,<300,11.76 ,USD,
Norfolk Island,Rest of World,small-light,,<300,12.50 ,USD,
Niue,Rest of World,small-light,,<300,16.76 ,USD,
Niger,Rest of World,small-light,,<300,9.12 ,USD,
New Caledonia,Rest of World,small-light,,<300,12.65 ,USD,
Nauru,Rest of World,small-light,,<300,16.18 ,USD,
Namibia,Rest of World,small-light,,<300,10.00 ,USD,
Montserrat,Rest of World,small-light,,<300,10.44 ,USD,
Martinique,Rest of World,small-light,,<300,11.76 ,USD,
Marshall Islands,Rest of World,small-light,,<300,11.18 ,USD,
Mali,Rest of World,small-light,,<300,9.56 ,USD,
Malawi,Rest of World,small-light,,<300,8.53 ,USD,
Liechtenstein,Rest of World,small-light,,<300,10.74 ,USD,
Liberia,Rest of World,small-light,,<300,10.29 ,USD,
Lesotho,Rest of World,small-light,,<300,10.88 ,USD,
Kosovo,Rest of World,small-light,,<300,9.12 ,USD,
Kiribati,Rest of World,small-light,,<300,13.38 ,USD,
Jersey,Rest of World,small-light,,<300,7.50 ,USD,
Jamaica,Rest of World,small-light,,<300,8.97 ,USD,
Isle of Man,Rest of World,small-light,,<300,7.50 ,USD,
Iceland,Rest of World,small-light,,<300,8.09 ,USD,
Haiti,Rest of World,small-light,,<300,10.44 ,USD,
Guinea,Rest of World,small-light,,<300,9.26 ,USD,
Guernsey,Rest of World,small-light,,<300,7.50 ,USD,
Guam,Rest of World,small-light,,<300,12.06 ,USD,
Guadeloupe,Rest of World,small-light,,<300,11.32 ,USD,
Grenada,Rest of World,small-light,,<300,9.85 ,USD,
Greenland,Rest of World,small-light,,<300,17.50 ,USD,
Gibraltar,Rest of World,small-light,,<300,11.91 ,USD,
Gambia,Rest of World,small-light,,<300,9.85 ,USD,
Gabon,Rest of World,small-light,,<300,9.12 ,USD,
French Polynesia,Rest of World,small-light,,<300,12.65 ,USD,
Fiji,Rest of World,small-light,,<300,12.65 ,USD,
Faroe Islands,Rest of World,small-light,,<300,15.29 ,USD,
Falkland Islands,Rest of World,small-light,,<300,16.18 ,USD,
Eritrea,Rest of World,small-light,,<300,9.85 ,USD,
Equatorial Guinea,Rest of World,small-light,,<300,9.56 ,USD,
